fname;minit;lname;tipo_cliente;cpf;cnpj;address
Ana;B;Silva;PF;12345678901;NULL;Rua A
João;L;Souza;PF;23456789012;NULL;Rua B
Maria;S;Oliveira;PF;34567890123;NULL;Rua C
Carlos;F;Costa;PF;45678901234;NULL;Rua D
Lucas;A;Pereira;PF;56789012345;NULL;Rua E
Fernanda;G;Rodrigues;PF;67890123456;NULL;Rua F
Patrícia;C;Almeida;PF;78901234567;NULL;Rua G
Rafael;J;Martins;PF;89012345678;NULL;Rua H
Juliana;M;Gomes;PF;90123456789;NULL;Rua I
Ricardo;N;Lima;PF;11223344556;NULL;Rua J
Roberta;D;Fernandes;PF;22334455667;NULL;Rua K
José;A;Silva;PF;33445566778;NULL;Rua L
Lúcia;C;Martins;PF;44556677889;NULL;Rua M
Carlos;L;Oliveira;PF;55667788990;NULL;Rua N
Ana;P;Souza;PF;66778899001;NULL;Rua O
Ricardo;J;Pereira;PF;77889900112;NULL;Rua P
Paula;F;Costa;PF;88990011223;NULL;Rua Q
Rafael;M;Rodrigues;PF;99001122334;NULL;Rua R
Bruna;S;Gomes;PJ;NULL;00111222333444;Rua S
Patrícia;T;Almeida;PJ;NULL;00222333444555;Rua T
Lucas;R;Martins;PJ;NULL;00333444555666;Rua U
Gustavo;H;Souza;PJ;NULL;00444555666777;Rua V
Monique;B;Costa;PJ;NULL;00555666777888;Rua W
Ricardo;T;Oliveira;PJ;NULL;00666777888999;Rua X
Juliana;N;Pereira;PJ;NULL;00777888999000;Rua Y
Tiago;M;Rodrigues;PJ;NULL;00888999000111;Rua Z
Vanessa;J;Martins;PJ;NULL;00999000111222;Rua AA
Raul;S;Almeida;PJ;NULL;01000111222333;Rua AB
Paulo;L;Gomes;PJ;NULL;01111222333444;Rua AC
Eliana;M;Rodrigues;PJ;NULL;01222333444555;Rua AD
Márcia;D;Fernandes;PJ;NULL;01333444555666;Rua AE
Jéssica;R;Silva;PJ;NULL;01444555666777;Rua AF
Felipe;M;Oliveira;PJ;NULL;01555666777888;Rua AG
Luana;N;Souza;PJ;NULL;01666777888999;Rua AH
Amanda;P;Costa;PJ;NULL;01777888999000;Rua AI
Vinícius;J;Pereira;PJ;NULL;01888999000111;Rua AJ
Gabriela;M;Rodrigues;PF;28910112223;NULL;Rua AK
Lucas;T;Martins;PF;29011223334;NULL;Rua AL
Renata;D;Gomes;PF;30122334445;NULL;Rua AM
Júlio;L;Almeida;PF;31233445556;NULL;Rua AN
Tereza;M;Fernandes;PF;32344556667;NULL;Rua AO
Simone;S;Silva;PF;33455667778;NULL;Rua AP
Daniel;P;Souza;PF;34566778889;NULL;Rua AQ
Maurício;F;Oliveira;PF;35677889990;NULL;Rua AR
Diana;M;Rodrigues;PF;36788990001;NULL;Rua AS
Antonio;B;Pereira;PF;37899001112;NULL;Rua AT
Sofia;J;Almeida;PF;38910112223;NULL;Rua AU
Aline;S;Gomes;PF;39011223334;NULL;Rua AV
Eduardo;M;Costa;PF;40122334445;NULL;Rua AW
Cássio;L;Martins;PF;41233445556;NULL;Rua AX
Bruna;P;Rodrigues;PF;42344556667;NULL;Rua AY
Júlia;J;Pereira;PF;43455667778;NULL;Rua AZ
Thiago;M;Silva;PF;44566778889;NULL;Rua BA
Raquel;R;Oliveira;PF;45677889990;NULL;Rua BB
João;B;Costa;PF;46788990001;NULL;Rua BC
Marcelo;L;Souza;PF;47899001112;NULL;Rua BD
Marcelo;P;Rodrigues;PF;48910112223;NULL;Rua BE
Carla;S;Martins;PF;49011223334;NULL;Rua BF
Isabela;M;Gomes;PF;50122334445;NULL;Rua BG
Luana;L;Pereira;PF;51233445556;NULL;Rua BH
Fernando;J;Almeida;PF;52344556667;NULL;Rua BI
Letícia;R;Rodrigues;PF;53455667778;NULL;Rua BJ
Paula;S;Oliveira;PF;54566778889;NULL;Rua BK
Alice;M;Martins;PF;55677889990;NULL;Rua BL
Samuel;P;Gomes;PF;56788990001;NULL;Rua BM
Rodrigo;B;Silva;PF;57899001112;NULL;Rua BN
Alessandra;L;Pereira;PF;58910112223;NULL;Rua BO
Lúcio;T;Rodrigues;PF;59011223334;NULL;Rua BP
Jorge;M;Almeida;PF;60122334445;NULL;Rua BQ
