socialname;abstname;cnpj;cpf;location;contact
Vendas A;Empresa A;12345678000101;12345678901;Rua A;9988776655
Vendas B;Empresa B;22345678000102;23456789012;Rua B;9988776656
Vendas C;Empresa C;32345678000103;34567890123;Rua C;9988776657
Vendas D;Empresa D;42345678000104;45678901234;Rua D;9988776658
Vendas E;Empresa E;52345678000105;56789012345;Rua E;9988776659
Vendas F;Empresa F;62345678000106;67890123456;Rua F;9988776660
Vendas G;Empresa G;72345678000107;78901234567;Rua G;9988776661
Vendas H;Empresa H;82345678000108;89012345678;Rua H;9988776662
Vendas I;Empresa I;92345678000109;90123456789;Rua I;9988776663
Vendas J;Empresa J;10345678000110;11223344556;Rua J;9988776664
Vendas K;Empresa K;11345678000111;22334455667;Rua K;9988776665
Vendas L;Empresa L;12345678000112;33445566778;Rua L;9988776666
Vendas M;Empresa M;13345678000113;44556677889;Rua M;9988776667
Vendas N;Empresa N;14345678000114;55667788990;Rua N;9988776668
Vendas O;Empresa O;15345678000115;66778899001;Rua O;9988776669
Vendas P;Empresa P;16345678000116;77889900112;Rua P;9988776670
Vendas Q;Empresa Q;17345678000117;88990011223;Rua Q;9988776671
Vendas R;Empresa R;18345678000118;99001122334;Rua R;9988776672
Vendas S;Empresa S;19345678000119;11223344555;Rua S;9988776673
Vendas T;Empresa T;20345678000120;22334455666;Rua T;9988776674
